Unnamed: 0,Origin,Origin County,Destination,Destination County,Dummy,Weight,Value,Travel Distance,Haversine Distance
70,6083,Santa Barbara County,4013,Maricopa County,,7037995.534382371,11889996.81654422,781588.8,708882.5468030254
71,42133,York County,4013,Maricopa County,,0.0,0.0,3749012.0,3250865.5626967777
72,20091,Johnson County,4013,Maricopa County,,0.0,0.0,2176327.3,1698736.1528718253
73,40109,Oklahoma County,4013,Maricopa County,,0.0,0.0,1664277.1,1403164.0696035277
74,53021,Franklin County,4013,Maricopa County,,1052680.16145714,727446.0523303886,2176933.3,1563312.754313318
75,6043,Mariposa County,4013,Maricopa County,,3138576.3659650665,5302314.105983648,1035759.0,819538.0055733775
76,36073,Orleans County,4013,Maricopa County,,0.0,0.0,3719269.6,3159475.191910872
77,48157,Fort Bend County,4013,Maricopa County,,0.0,0.0,1870540.0,1640128.3040983786
78,55087,Outagamie County,4013,Maricopa County,,0.0,0.0,3186143.6,2403020.453951821
79,36011,Cayuga County,4013,Maricopa County,,1395269.4225800822,2427200.7064995486,3838431.0,3289370.428514645
80,51089,Henry County,4013,Maricopa County,,245112.581114491,182357.63327616075,3465856.8,2979026.9980489407
81,48085,Collin County,4013,Maricopa County,,946497.8187773492,2630461.566964706,1770078.8,1478667.3866552855
82,48339,Montgomery County,4013,Maricopa County,,0.0,0.0,1948599.9,1638430.2605318774
83,6009,Calaveras County,4013,Maricopa County,,2900297.984741194,4899766.366309389,1139065.5,905256.7454119754
84,8123,Weld County,4013,Maricopa County,,0.0,0.0,1622080.2,1076012.8720837897
85,55015,Calumet County,4013,Maricopa County,,0.0,0.0,3163835.2,2407320.204124687
86,55097,Portage County,4013,Maricopa County,,0.0,0.0,3138135.2,2330137.3431704594
87,34039,Union County,4013,Maricopa County,,0.0,0.0,3952409.5,3457890.068581064
88,17093,Kendall County,4013,Maricopa County,,321829.709016551,1440501.1192825,2857901.8,2302857.8457199307
89,34015,Gloucester County,4013,Maricopa County,,0.0,0.0,3909892.8,3385886.598773788
90,42001,Adams County,4013,Maricopa County,,0.0,0.0,3700975.7,3208807.728477428
91,8005,Arapahoe County,4013,Maricopa County,,891076.4504109854,2210662.7140279203,1550177.5,1010012.347252644
92,42029,Chester County,4013,Maricopa County,,349519.2380300225,2163948.9346430684,3840990.1,3334354.7986843428
93,55025,Dane County,4013,Maricopa County,,1267131.78253376,3634611.603935212,2989809.0,2276596.081173823
94,53025,Grant County,4013,Maricopa County,,1772410.44986982,1224809.806505909,2266440.8,1648396.9219949911
95,26081,Kent County,4013,Maricopa County,,2155368.1385327103,11346695.578696532,3184730.6,2574136.679758048
96,48473,Waller County,4013,Maricopa County,,0.0,0.0,1817578.1,1603265.5032985765
97,17111,McHenry County,4013,Maricopa County,,0.0,0.0,2964018.3,2324244.0666020364
98,9013,Tolland County,4013,Maricopa County,,0.0,0.0,4215160.0,3626135.923273619
99,41047,Marion County,4013,Maricopa County,,1408705.59935178,3629475.82146202,2088215.0,1549299.1297497237
